,Unnamed: 0,reaction_id,smiles,reaction_core,reaction_type,activation_energy
24,24,35,[CH3:1][C@@:2]([F:3])([C@H:4]([NH2:5])[N+:6](=[O:7])[O-:8])[N+:9](=[O:10])[O-:11].[H-:12],"[[2, 1, 3, 11]]",e2,2.283999477538191
25,25,36,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 3, 1, 9]]",e2,34.52585843011709
26,26,37,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[Br-:10],"[[5, 3, 1, 9]]",e2,40.29718177844776
27,27,38,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Br:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,3.492692909775101
28,28,39,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[Cl-:8],"[[4, 3, 1, 7]]",e2,32.59060942877577
29,29,40,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[Cl-:7],"[[2, 1, 3, 6]]",e2,30.92371395492872
30,30,41,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Br:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 3, 1, 9]]",e2,27.799489018822648
31,31,42,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[Br-:8],"[[4, 3, 1, 7]]",e2,36.39403896534497
32,32,43,[CH3:1][C@:2]([NH2:3])([F:4])[CH2:5][N+:6](=[O:7])[O-:8].[H-:9],"[[3, 1, 4, 8]]",e2,1.4938694706134985
33,33,46,[CH3:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 1, 8]]",e2,13.792591704478957
34,34,48,[NH2:1][C:2]([NH2:3])([Cl:4])[CH2:5][N+:6](=[O:7])[O-:8].[F-:9],"[[3, 1, 4, 8]]",e2,9.388451818395186
35,35,49,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([CH3:6])([NH2:7])[Cl:8].[H-:9],"[[7, 4, 1, 8]]",e2,1.6096404649042817
36,36,50,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Br:7])[C:8]#[N:9].[F-:10],"[[6, 4, 1, 9]]",e2,1.9786534923465915
37,37,52,[N:1]#[C:2][CH2:3][C@@H:4]([NH2:5])[Cl:6].[H-:7],"[[5, 3, 2, 6]]",e2,3.0560393766137453
38,38,53,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Br:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[6, 4, 1, 10]]",e2,0.5156142262452613
39,39,54,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[F:7].[H-:8],"[[6, 4, 2, 7]]",e2,7.758229761211583
40,40,55,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([NH2:6])[F:7].[H-:8],"[[6, 3, 1, 7]]",e2,20.152438920075568
41,41,58,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[6, 4, 1, 10]]",e2,0.9799992890944894
42,42,59,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8]]",e2,7.159235521239653
43,43,60,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([Br:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 4, 1, 9]]",e2,22.893276562982827
44,44,61,[CH3:1][C@H:2]([NH2:3])[C@:4]([Br:5])([C:6]#[N:7])[N+:8](=[O:9])[O-:10].[Cl-:11],"[[4, 3, 1, 10]]",e2,21.52363911562852
45,45,62,[CH3:1][C@H:2]([NH2:3])[C@@:4]([CH3:5])([Br:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 3, 1, 9]]",e2,27.816483470155287
46,46,65,[NH2:1][C@@H:2]([C@@H:3]([Br:4])[N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[3, 2, 1, 10]]",e2,0.1802650681960177
47,47,67,[NH2:1][CH2:2][C:3]([Br:4])([N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[Cl-:11],"[[3, 2, 1, 10]]",e2,30.28136293571175
48,48,68,[O:1]=[N+:2]([O-:3])[CH2:4][C@@H:5]([Br:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 4, 3, 9]]",e2,3.0264409545722164
49,49,69,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8]]",e2,3.5075109364285093
50,50,70,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 1, 8]]",e2,14.677862475381934
51,51,71,[NH2:1][CH:2]([NH2:3])[C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 1, 9]]",e2,22.12643732567264
52,52,72,[NH2:1][CH:2]([NH2:3])[C:4]([Cl:5])([N+:6](=[O:7])[O-:8])[N+:9](=[O:10])[O-:11].[H-:12],"[[4, 3, 1, 11]]",e2,7.509398342885682
53,53,76,[CH3:1][C@@:2]([F:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 3, 8]]",e2,12.787514348719869
54,54,78,[CH3:1][C@@:2]([Cl:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 3, 8]]",e2,12.497414903494407
55,55,79,[CH3:1][C@@:2]([Cl:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 3, 8]]",e2,11.875463172928455
56,56,80,[CH3:1][C@@:2]([Br:3])([CH:4]([NH2:5])[NH2:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[2, 1, 3, 9]]",e2,19.765767151180192
57,57,82,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,10.12523722112504
58,58,83,[CH3:1][C@@:2]([F:3])([CH:4]([NH2:5])[NH2:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[2, 1, 3, 9]]",e2,13.942526808238794
59,59,84,[CH3:1][C:2]([CH3:3])([Cl:4])[CH:5]([NH2:6])[NH2:7].[H-:8],"[[3, 1, 4, 7]]",e2,11.5366508116642
60,60,85,[CH3:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 2, 1, 8]]",e2,36.598028200410695
61,61,87,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[N+:8](=[O:9])[O-:10].[Cl-:11],"[[6, 4, 1, 10]]",e2,29.610449282697488
62,62,88,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 3, 1, 9]]",e2,32.49911604605227
63,63,89,[NH2:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 1, 8]]",e2,6.655424563806733
64,64,90,[CH3:1][C@H:2]([NH2:3])[C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,9.27707727595698
65,65,91,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([NH2:5])([Br:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,6.814218186766574
66,66,92,[NH2:1][CH:2]([NH2:3])[C@@:4]([NH2:5])([Br:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,10.90374415738536
67,67,93,[N:1]#[C:2][C@:3]([NH2:4])([Br:5])[CH2:6][NH2:7].[H-:8],"[[4, 2, 5, 7]]",e2,3.9549399492496815
68,68,95,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,4.2167678343183015
69,69,97,[N:1]#[C:2][C@H:3]([NH2:4])[C@@H:5]([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 2, 8]]",e2,31.18671607672669
70,70,98,[N:1]#[C:2][C@:3]([NH2:4])([Cl:5])[CH2:6][NH2:7].[Cl-:8],"[[4, 2, 5, 7]]",e2,32.31539952947584
71,71,99,[N:1]#[C:2][C@:3]([Cl:4])([CH2:5][NH2:6])[N+:7](=[O:8])[O-:9].[Br-:10],"[[3, 2, 4, 9]]",e2,33.9147555853433
72,72,102,[N:1]#[C:2][CH:3]([C:4]#[N:5])[C@@H:6]([F:7])[C:8]#[N:9].[F-:10],"[[6, 5, 2, 9]]",e2,25.645457842035817
73,73,103,[CH3:1][C@:2]([Br:3])([C:4]#[N:5])[C@@H:6]([NH2:7])[C:8]#[N:9].[Cl-:10],"[[2, 1, 5, 9]]",e2,18.16783883805214
74,74,104,[CH3:1][CH:2]([CH3:3])[C@@:4]([F:5])([C:6]#[N:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[4, 3, 1, 10]]",e2,1.4130778498419128
75,75,105,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 1, 8]]",e2,16.208372163756607
76,76,106,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8]]",e2,36.20917514015779
77,77,107,[CH3:1][C@H:2]([NH2:3])[C:4]([Cl:5])([C:6]#[N:7])[C:8]#[N:9].[Cl-:10],"[[4, 3, 1, 9]]",e2,27.28586352014297
78,78,108,[CH3:1][C@H:2]([NH2:3])[C:4]([Cl:5])([C:6]#[N:7])[C:8]#[N:9].[Br-:10],"[[4, 3, 1, 9]]",e2,31.323517429663124
79,79,109,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 1, 7]]",e2,16.07733259445502
80,80,110,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Br:5])[C:6]#[N:7].[H-:8],"[[4, 3, 1, 7]]",e2,12.313411101123204
81,81,111,[CH3:1][C@H:2]([NH2:3])[C:4]([Br:5])([C:6]#[N:7])[C:8]#[N:9].[Cl-:10],"[[4, 3, 1, 9]]",e2,21.39976734623583
82,82,112,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([Br:6])[C:7]#[N:8].[H-:9],"[[5, 4, 2, 8]]",e2,1.5566725594877362
83,83,117,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([Br:6])[C:7]#[N:8].[Br-:9],"[[5, 4, 2, 8]]",e2,33.75354512792666
84,84,118,[CH3:1][C@:2]([Br:3])([C:4]#[N:5])[CH2:6][NH2:7].[Br-:8],"[[2, 1, 5, 7]]",e2,32.875547056273795
85,85,119,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Br:5])[C:6]#[N:7].[H-:8],"[[4, 3, 1, 7]]",e2,9.480961763706109
86,86,120,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8]]",e2,31.18532375351195
87,87,121,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([Br:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 2, 8]]",e2,27.421056680185004
88,88,122,[CH3:1][C@:2]([Cl:3])([C:4]#[N:5])[CH:6]([NH2:7])[NH2:8].[Cl-:9],"[[2, 1, 5, 8]]",e2,35.21880305972135
89,89,123,[CH3:1][CH2:2][C@@:3]([F:4])([C:5]#[N:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[3, 2, 1, 9]]",e2,6.541821336104207
90,90,124,[CH3:1][CH:2]([CH3:3])[C@@:4]([Br:5])([C:6]#[N:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[4, 3, 1, 10]]",e2,2.050378578831924
91,91,125,[CH3:1][CH2:2][C@@:3]([F:4])([C:5]#[N:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[3, 2, 1, 9]]",e2,0.808991590133587
92,92,133,[CH3:1][CH2:2][C:3]([Cl:4])([C:5]#[N:6])[C:7]#[N:8].[H-:9],"[[3, 2, 1, 8]]",e2,5.622291268310018
93,93,134,[N:1]#[C:2][C@@H:3]([NH2:4])[C:5]([F:6])([C:7]#[N:8])[C:9]#[N:10].[H-:11],"[[5, 4, 2, 10]]",e2,7.91671810029546
94,94,135,[CH3:1][C@@H:2]([NH2:3])[C:4]([Cl:5])([C:6]#[N:7])[C:8]#[N:9].[H-:10],"[[4, 3, 1, 9]]",e2,2.1823510997487845
95,95,136,[CH3:1][C@@:2]([NH2:3])([F:4])[CH2:5][NH2:6].[H-:7],"[[3, 1, 4, 6]]",e2,16.51442464434165
96,96,137,[CH3:1][C@H:2]([NH2:3])[C:4]([F:5])([C:6]#[N:7])[C:8]#[N:9].[H-:10],"[[4, 3, 1, 9]]",e2,7.605925393074791
97,97,138,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([F:5])[C:6]#[N:7].[H-:8],"[[4, 3, 1, 7]]",e2,15.034789749227365
98,98,139,[CH3:1][C@:2]([F:3])([C:4]#[N:5])[CH:6]([NH2:7])[NH2:8].[H-:9],"[[2, 1, 5, 8]]",e2,13.894340400289558
99,99,140,[CH3:1][C@:2]([Cl:3])([C:4]#[N:5])[CH:6]([NH2:7])[NH2:8].[H-:9],"[[2, 1, 5, 8]]",e2,9.061712419971348
100,100,141,[CH3:1][C@:2]([Cl:3])([C:4]#[N:5])[CH:6]([NH2:7])[NH2:8].[F-:9],"[[2, 1, 5, 8]]",e2,15.204327426410735
101,101,142,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 1, 8]]",e2,11.344335156853903
102,102,143,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 1, 9]]",e2,11.655943400427844
103,103,144,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Br:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 2, 8]]",e2,24.10963886991324
104,104,145,[N:1]#[C:2][C@:3]([NH2:4])([Br:5])[CH2:6][N+:7](=[O:8])[O-:9].[Cl-:10],"[[4, 2, 5, 9]]",e2,23.577319023701843
105,105,146,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 2, 8]]",e2,29.30565929027448
106,106,151,[N:1]#[C:2][C@H:3]([NH2:4])[C@@:5]([NH2:6])([Br:7])[C:8]#[N:9].[F-:10],"[[6, 4, 2, 9]]",e2,0.9707356317045148
107,107,152,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[F-:9],"[[5, 3, 2, 8]]",e2,5.329068463664063
108,108,155,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[F-:10],"[[6, 4, 1, 9]]",e2,2.601924294231081
109,109,156,[N:1]#[C:2][C@:3]([NH2:4])([Br:5])[C@@H:6]([NH2:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[4, 2, 5, 10]]",e2,1.4634259627990167
110,110,157,[CH3:1][CH:2]([CH3:3])[C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 1, 8]]",e2,18.414497206060368
111,111,158,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[H-:10],"[[6, 4, 1, 9]]",e2,1.0030173770154855
112,112,159,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[F-:10],"[[6, 4, 1, 9]]",e2,3.3104107660948205
113,113,161,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[Cl-:10],"[[6, 4, 2, 9]]",e2,26.37855828885354
114,114,162,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[H-:10],"[[6, 4, 1, 9]]",e2,0.7080538090137056
115,115,163,[CH3:1][C@H:2]([F:3])[C@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 3, 7]]",e2,1.3290800365286513
116,116,164,[CH3:1][C@H:2]([Br:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[F-:8],"[[2, 1, 3, 7]]",e2,4.332324547911283
117,117,165,[CH3:1][C@H:2]([Br:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[Cl-:8],"[[2, 1, 3, 7]]",e2,27.28733610936021
118,118,166,[CH3:1][C@:2]([Br:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[2, 1, 3, 8]]",e2,31.09962804143616
119,119,167,[CH3:1][C@H:2]([F:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 3, 7]]",e2,3.9962513013464527
120,120,170,[NH2:1][C@@H:2]([C@@H:3]([Br:4])[N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[3, 2, 1, 10]]",e2,1.5783319947578214
121,121,174,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,6.763231771445128
122,122,177,[NH2:1][CH:2]([NH2:3])[C@H:4]([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8]]",e2,15.353991842667671
123,123,179,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[C:7]#[N:8].[H-:9],"[[5, 3, 1, 8]]",e2,5.204438375925423
124,124,181,[N:1]#[C:2][C@@:3]([NH2:4])([Br:5])[CH2:6][NH2:7].[H-:8],"[[4, 2, 5, 7]]",e2,6.914002958388172
125,125,183,[CH3:1][C@:2]([Cl:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[2, 1, 3, 8]]",e2,38.521164512617226
126,126,184,[CH3:1][C@:2]([Cl:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[2, 1, 3, 8]]",e2,44.000645217618505
127,127,186,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[H-:8],"[[3, 2, 4, 7]]",e2,10.550382600572362
128,128,187,[CH3:1][C:2]([CH3:3])([Cl:4])[C@@H:5]([NH2:6])[C:7]#[N:8].[F-:9],"[[3, 1, 4, 8]]",e2,1.8469051599450503
129,129,188,[CH3:1][C:2]([CH3:3])([Cl:4])[C@@H:5]([NH2:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[3, 1, 4, 9]]",e2,31.00962163412446
130,130,189,[CH3:1][C:2]([CH3:3])([Cl:4])[C@@H:5]([NH2:6])[C:7]#[N:8].[Cl-:9],"[[3, 1, 4, 8]]",e2,29.74132373278853
131,131,190,[CH3:1][C:2]([CH3:3])([Br:4])[CH:5]([NH2:6])[NH2:7].[F-:8],"[[3, 1, 4, 7]]",e2,8.247334293185332
132,132,191,[CH3:1][C:2]([CH3:3])([Br:4])[CH:5]([NH2:6])[NH2:7].[H-:8],"[[3, 1, 4, 7]]",e2,7.36752710716608
133,133,192,[CH3:1][C:2]([CH3:3])([Cl:4])[CH:5]([NH2:6])[NH2:7].[F-:8],"[[3, 1, 4, 7]]",e2,14.079704110424355
134,134,193,[CH3:1][C:2]([CH3:3])([F:4])[CH:5]([NH2:6])[NH2:7].[H-:8],"[[3, 1, 4, 7]]",e2,20.75369168461984
135,135,194,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([NH2:6])[Cl:7].[H-:8],"[[6, 3, 1, 7]]",e2,7.772045573234108
136,136,195,[CH3:1][C@:2]([NH2:3])([Cl:4])[C@@H:5]([NH2:6])[C:7]#[N:8].[H-:9],"[[3, 1, 4, 8]]",e2,6.115813454220213
137,137,196,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([CH3:6])([NH2:7])[F:8].[H-:9],"[[7, 4, 1, 8]]",e2,3.7995069312927248
138,138,198,[CH3:1][C@H:2]([NH2:3])[C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 1, 8]]",e2,22.95918360313415
139,139,199,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[C:7]#[N:8].[F-:9],"[[5, 3, 1, 8]]",e2,11.92272098921577
140,140,200,[CH3:1][C@H:2]([C:3]#[N:4])[C@H:5]([NH2:6])[Br:7].[H-:8],"[[6, 4, 1, 7]]",e2,0.0411319849120843
141,141,201,[N:1]#[C:2][CH2:3][C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 2, 8]]",e2,0.0070531104961143
142,142,202,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([NH2:5])[Br:6].[F-:7],"[[5, 3, 1, 6]]",e2,11.064298499946352
143,143,204,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([NH2:6])[Br:7].[F-:8],"[[6, 4, 2, 7]]",e2,5.001022996770682
144,144,205,[CH3:1][C@@H:2]([N+:3](=[O:4])[O-:5])[C:6]([NH2:7])([NH2:8])[F:9].[H-:10],"[[8, 5, 1, 9]]",e2,3.982375412740127
145,145,206,[CH3:1][C@H:2]([C@H:3]([NH2:4])[Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 1, 8]]",e2,1.8575618043644408
146,146,210,[N:1]#[C:2][CH2:3][C@H:4]([NH2:5])[Cl:6].[H-:7],"[[5, 3, 2, 6]]",e2,1.4580106789403509
147,147,211,[N:1]#[C:2][C@:3]([Br:4])([CH2:5][NH2:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[3, 2, 4, 9]]",e2,3.9873999451027538
148,148,212,[CH3:1][C@H:2]([C:3]#[N:4])[C@:5]([NH2:6])([F:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[6, 4, 1, 10]]",e2,1.6573660908351306
149,149,213,[CH3:1][C@H:2]([NH2:3])[C@:4]([NH2:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9]]",e2,13.875328264482436
150,150,214,[CH3:1][CH2:2][C:3]([Cl:4])([N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[3, 2, 1, 10]]",e2,7.808897398742157
